Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Jason Clark
						
					",2012,-,"6'1 ¼""",-,"6'8""",-,-,-,"26.3""","2'1 ¼""",171,-,-,-,-,10.48,3.27,/profile/Jason-Clark-19844/,Jason-Clark-19844
"
						
							Derrick Low
						
					",2008,-,"6'1 ¼""","6'2""","6'1 ¾""",-,-,-,-,-,195,-,-,-,-,-,-,/profile/Derrick-Low-1166/,Derrick-Low-1166
"
						
							Blake Ahearn
						
					",2007,-,"6'1 ¼""","6'2 ¾""","6'4 ¾""",-,-,-,-,-,186,-,-,-,-,-,-,/profile/Blake-Ahearn-5147/,Blake-Ahearn-5147
"
						
							Kammron Taylor
						
					",2007,-,"6'1 ¼""","6'2 ½""","6'2 ¾""",-,-,-,-,-,166,-,-,-,-,-,-,/profile/Kammron-Taylor-27438/,Kammron-Taylor-27438
"
						
							Safak Edge
						
					",2014,-,"6'1 ¼""","6'2 ¼""","6'2 ¼""","7'10""","34""","10'8""","27.5""","10'1 ½""",182,-,-,-,-,11.24,3.29,/profile/Safak-Edge-6155/,Safak-Edge-6155
"
						
							Detrick Mostella
						
					",2012,-,"6'1 ¼""",-,"6'5 ¾""","8'2""",-,-,-,-,158,-,-,-,-,-,-,/profile/Detrick-Mostella-70554/,Detrick-Mostella-70554
"
						
							Hayward Register
						
					",2012,-,"6'1 ¼""",-,"6'4 ½""","8'1""",-,-,-,-,156,-,-,-,-,-,-,/profile/Hayward-Register-78436/,Hayward-Register-78436
"
						
							Jalen Richard
						
					",2012,-,"6'1 ¼""",-,"6'3 ¾""","8'0 ½""",-,-,-,-,176,-,-,-,-,-,-,/profile/Jalen-Richard-78528/,Jalen-Richard-78528
"
						
							Larry Richardson
						
					",2012,-,"6'1 ¼""",-,"6'6 ¾""","8'3 ½""",-,-,-,-,175,-,-,-,-,-,-,/profile/Larry-Richardson-88128/,Larry-Richardson-88128
"
						
							Jared Terrell
						
					",2012,-,"6'1 ¼""",-,"6'5 ½""","8'1 ½""",-,-,-,-,220,-,-,-,-,-,-,/profile/Jared-Terrell-71692/,Jared-Terrell-71692
