Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Jack Coleman,1950,1958,F-C,6-7,195.0,1924-05-23,University of Louisville,/players/c/colemja01.html,colemja01,0,79.0
Norris Coleman,1988,1988,F,6-8,210.0,1961-09-27,Kansas State University,/players/c/colemno01.html,colemno01,0,80.0
Bimbo Coles,1991,2004,G,6-1,180.0,1968-04-22,Virginia Polytechnic Institute and State University,/players/c/colesbi01.html,colesbi01,0,73.0
Jason Collier,2001,2005,C,7-0,260.0,1977-09-08,Georgia Institute of Technology,/players/c/collija02.html,collija02,0,84.0
Art Collins,1981,1981,G,6-4,185.0,1954-04-14,St. Thomas University,/players/c/colliar01.html,colliar01,0,76.0
Don Collins,1981,1987,F-G,6-6,190.0,1958-11-28,Washington State University,/players/c/collido02.html,collido02,0,78.0
Doug Collins,1974,1981,G-F,6-6,180.0,1951-07-28,Illinois State University,/players/c/collido01.html,collido01,0,78.0
James Collins,1998,1998,G,6-4,196.0,1973-11-05,Florida State University,/players/c/collija01.html,collija01,0,76.0
Jarron Collins,2002,2011,F-C,6-11,255.0,1978-12-02,Stanford University,/players/c/collija03.html,collija03,0,83.0
Jason Collins,2002,2014,C,7-0,255.0,1978-12-02,Stanford University,/players/c/collija04.html,collija04,0,84.0
Jimmy Collins,1971,1972,G,6-2,175.0,1946-11-24,New Mexico State University,/players/c/colliji01.html,colliji01,0,74.0
Mardy Collins,2007,2010,G,6-6,220.0,1984-08-04,Temple University,/players/c/collima01.html,collima01,0,78.0
Sherron Collins,2011,2011,G,5-11,205.0,1987-03-18,University of Kansas,/players/c/collish01.html,collish01,0,71.0
Darren Collison,2010,2017,G,6-0,175.0,1987-08-23,"University of California, Los Angeles",/players/c/collida01.html,collida01,0,72.0
Nick Collison,2005,2017,F,6-10,255.0,1980-10-26,University of Kansas,/players/c/collini01.html,collini01,0,82.0
Joe Colone,1949,1949,F,6-5,210.0,1924-01-23,Bloomsburg University of Pennsylvania,/players/c/colonjo01.html,colonjo01,0,77.0
Sean Colson,2001,2001,G,6-0,175.0,1975-07-01,University of North Carolina at Charlotte,/players/c/colsose01.html,colsose01,0,72.0
Steve Colter,1985,1995,G,6-3,165.0,1962-07-24,New Mexico State University,/players/c/coltest01.html,coltest01,0,75.0
Glen Combs,1969,1975,G,6-2,185.0,1946-10-30,Virginia Polytechnic Institute and State University,/players/c/combsgl01.html,combsgl01,0,74.0
Leroy Combs,1984,1984,F,6-8,210.0,1961-01-01,Oklahoma State University,/players/c/combsle01.html,combsle01,0,80.0
John Comeaux,1968,1968,F,6-5,193.0,1943-09-15,Grambling State University,/players/c/comeajo01.html,comeajo01,0,77.0
Dallas Comegys,1988,1989,F,6-9,205.0,1964-08-17,DePaul University,/players/c/comegda01.html,comegda01,0,81.0
Larry Comley,1964,1964,G,6-5,210.0,1939-08-17,Kansas State University,/players/c/comlela01.html,comlela01,0,77.0
Jeffrey Congdon,1968,1972,G,6-1,180.0,1943-10-17,Brigham Young University,/players/c/congdje01.html,congdje01,0,73.0
Gene Conley,1953,1964,C-F,6-8,225.0,1930-11-10,Washington State University,/players/c/conlege01.html,conlege01,0,80.0
Larry Conley,1968,1968,G,6-3,175.0,1944-01-22,University of Kentucky,/players/c/conlela01.html,conlela01,0,75.0
Mike Conley,2008,2017,G,6-1,175.0,1987-10-11,Ohio State University,/players/c/conlemi01.html,conlemi01,0,73.0
Ed Conlin,1956,1962,F-G,6-5,200.0,1933-09-02,Fordham University,/players/c/conlied01.html,conlied01,0,77.0
Marty Conlon,1992,2000,F-C,6-10,224.0,1968-01-19,Providence College,/players/c/conloma01.html,conloma01,0,82.0
Pat Connaughton,2016,2017,G,6-5,206.0,1993-01-06,University of Notre Dame,/players/c/connapa01.html,connapa01,0,77.0
Jimmy Conner,1976,1976,G,6-4,190.0,1953-03-20,University of Kentucky,/players/c/conneji01.html,conneji01,0,76.0
Lester Conner,1983,1995,G,6-4,180.0,1959-09-17,Oregon State University,/players/c/connele01.html,connele01,0,76.0
Chuck Connors,1947,1948,F-C,6-5,190.0,1921-04-10,Seton Hall University,/players/c/connoch01.html,connoch01,0,77.0
Will Conroy,2007,2013,G,6-2,195.0,1982-12-08,University of Washington,/players/c/conrowi01.html,conrowi01,0,74.0
Anthony Cook,1991,1996,F-C,6-9,205.0,1967-03-19,University of Arizona,/players/c/cookan01.html,cookan01,0,81.0
Bert Cook,1955,1955,G-F,6-3,185.0,1929-04-26,Utah State University,/players/c/cookbe01.html,cookbe01,0,75.0
Bobby Cook,1950,1950,G-F,5-10,155.0,1923-04-01,University of Wisconsin,/players/c/cookbo01.html,cookbo01,0,70.0
Brian Cook,2004,2012,F,6-9,234.0,1980-12-04,University of Illinois at Urbana-Champaign,/players/c/cookbr01.html,cookbr01,0,81.0
Daequan Cook,2008,2013,G,6-5,205.0,1987-04-28,Ohio State University,/players/c/cookda02.html,cookda02,0,77.0
Darwin Cook,1981,1989,G,6-3,184.0,1958-08-06,University of Portland,/players/c/cookda01.html,cookda01,0,75.0
Jeff Cook,1980,1988,F-C,6-10,215.0,1956-10-21,Idaho State University,/players/c/cookje01.html,cookje01,0,82.0
Norm Cook,1977,1978,F,6-8,210.0,1955-03-21,University of Kansas,/players/c/cookno01.html,cookno01,0,80.0
Omar Cook,2004,2005,G,6-1,190.0,1982-01-28,St. John's University,/players/c/cookom01.html,cookom01,0,73.0
Quinn Cook,2017,2017,G,6-2,184.0,1993-03-23,Duke University,/players/c/cookqu01.html,cookqu01,0,74.0
David Cooke,1986,1986,F,6-8,230.0,1963-09-27,Saint Mary's College of California,/players/c/cookeda01.html,cookeda01,0,80.0
Joe Cooke,1971,1971,G,6-3,175.0,1948-08-14,Indiana University,/players/c/cookejo01.html,cookejo01,0,75.0
Jack Cooley,2015,2015,F,6-9,260.0,1991-04-04,University of Notre Dame,/players/c/cooleja01.html,cooleja01,0,81.0
Chuck Cooper,1951,1956,F,6-5,210.0,1926-09-29,Duquesne University,/players/c/coopech01.html,coopech01,0,77.0
Duane Cooper,1993,1994,G,6-1,185.0,1969-06-25,University of Southern California,/players/c/coopedu01.html,coopedu01,0,73.0
Joe Cooper,1982,1985,C-F,6-10,230.0,1957-09-01,University of Colorado,/players/c/coopejo01.html,coopejo01,0,82.0
Michael Cooper,1979,1990,G-F,6-5,170.0,1956-04-15,University of New Mexico,/players/c/coopemi01.html,coopemi01,0,77.0
Wayne Cooper,1979,1992,C-F,6-10,220.0,1956-11-16,University of New Orleans,/players/c/coopewa01.html,coopewa01,0,82.0
Tom Copa,1992,1992,C,6-10,275.0,1964-10-30,Marquette University,/players/c/copato01.html,copato01,0,82.0
Chris Copeland,2013,2016,F,6-9,239.0,1984-03-17,University of Colorado,/players/c/copelch01.html,copelch01,0,81.0
Hollis Copeland,1980,1982,F,6-6,180.0,1955-12-20,Rutgers University,/players/c/copelho01.html,copelho01,0,78.0
Lanard Copeland,1990,1992,G,6-6,190.0,1965-07-16,Georgia State University,/players/c/copella01.html,copella01,0,78.0
Tyrone Corbin,1986,2001,G-F,6-6,210.0,1962-12-31,DePaul University,/players/c/corbity01.html,corbity01,0,78.0
Chris Corchiani,1992,1994,G,6-0,185.0,1968-03-28,North Carolina State University,/players/c/corchch01.html,corchch01,0,72.0
Ken Corley,1947,1947,C,6-5,210.0,,Oklahoma State Teachers College,/players/c/corleke01.html,corleke01,0,77.0
Ray Corley,1950,1953,G,6-0,180.0,1928-01-01,Georgetown University,/players/c/corlera01.html,corlera01,0,72.0
Dave Corzine,1979,1991,C,6-11,250.0,1956-04-25,DePaul University,/players/c/corzida01.html,corzida01,0,83.0
Larry Costello,1955,1968,G,6-1,186.0,1931-07-02,Niagara University,/players/c/costela01.html,costela01,0,73.0
Bryce Cotton,2015,2016,G,6-1,165.0,1992-08-11,Providence College,/players/c/cottobr01.html,cottobr01,0,73.0
Jack Cotton,1950,1950,F-C,6-7,200.0,1924-10-25,University of Wyoming,/players/c/cottoja01.html,cottoja01,0,79.0
James Cotton,1998,1999,G,6-5,220.0,1975-12-14,"California State University, Long Beach",/players/c/cottoja02.html,cottoja02,0,77.0
John Coughran,1980,1980,F,6-7,225.0,1951-09-12,University of California,/players/c/coughjo01.html,coughjo01,0,79.0
Mel Counts,1965,1976,C-F,7-0,230.0,1941-10-16,Oregon State University,/players/c/countme01.html,countme01,0,84.0
Steve Courtin,1965,1965,G,6-1,188.0,1942-09-21,Saint Joseph's University,/players/c/courtst01.html,courtst01,0,73.0
Joe Courtney,1993,1997,F,6-8,235.0,1969-10-17,University of Southern Mississippi,/players/c/courtjo01.html,courtjo01,0,80.0
Marcus Cousin,2011,2011,C,6-11,245.0,1986-12-18,University of Houston,/players/c/cousima01.html,cousima01,0,83.0
DeMarcus Cousins,2011,2017,C-F,6-11,270.0,1990-08-13,University of Kentucky,/players/c/couside01.html,couside01,0,83.0
Bob Cousy,1951,1970,G,6-1,175.0,1928-08-09,College of the Holy Cross,/players/c/cousybo01.html,cousybo01,1,73.0
Robert Covington,2014,2017,F,6-9,215.0,1990-12-14,Tennessee State University,/players/c/covinro01.html,covinro01,0,81.0
Dave Cowens,1971,1983,C-F,6-9,230.0,1948-10-25,Florida State University,/players/c/cowenda01.html,cowenda01,1,81.0
Chubby Cox,1983,1983,G,6-2,180.0,1955-12-29,University of San Francisco,/players/c/coxch01.html,coxch01,0,74.0
Johnny Cox,1963,1963,G,6-4,180.0,1936-11-01,University of Kentucky,/players/c/coxjo01.html,coxjo01,0,76.0
Wesley Cox,1978,1979,F,6-6,215.0,1955-01-27,University of Louisville,/players/c/coxwe01.html,coxwe01,0,78.0
Allen Crabbe,2014,2017,G-F,6-6,210.0,1992-04-09,University of California,/players/c/crabbal01.html,crabbal01,0,78.0
Chris Crawford,1998,2004,F,6-9,235.0,1975-05-13,Marquette University,/players/c/crawfch01.html,crawfch01,0,81.0
Freddie Crawford,1967,1971,G-F,6-4,189.0,1941-12-23,St. Bonaventure University,/players/c/crawffr01.html,crawffr01,0,76.0
Jamal Crawford,2001,2017,G,6-5,200.0,1980-03-20,University of Michigan,/players/c/crawfja01.html,crawfja01,0,77.0
Joe Crawford,2009,2009,F,6-5,210.0,1986-06-17,University of Kentucky,/players/c/crawfjo01.html,crawfjo01,0,77.0
Jordan Crawford,2011,2017,G,6-4,195.0,1988-10-23,Xavier University,/players/c/crawfjo02.html,crawfjo02,0,76.0
Jim Creighton,1976,1976,F,6-8,200.0,1950-04-18,University of Colorado,/players/c/creigji01.html,creigji01,0,80.0
Ron Crevier,1986,1986,C,7-0,235.0,1958-04-14,Boston College,/players/c/creviro01.html,creviro01,0,84.0
Hal Crisler,1947,1947,F,6-3,215.0,1923-12-31,Iowa State University,/players/c/crislha01.html,crislha01,0,75.0
Joe Crispin,2002,2002,G,6-0,185.0,1979-07-18,Pennsylvania State University,/players/c/crispjo01.html,crispjo01,0,72.0
Charlie Criss,1978,1985,G,5-8,165.0,1948-11-06,New Mexico State University,/players/c/crissch01.html,crissch01,0,68.0
Russell Critchfield,1969,1969,G,5-10,150.0,1946-06-27,University of California,/players/c/critcru01.html,critcru01,0,70.0
Winston Crite,1988,1989,F,6-7,233.0,1965-06-20,Texas A&M University,/players/c/critewi01.html,critewi01,0,79.0
Javaris Crittenton,2008,2009,G,6-5,200.0,1987-12-31,Georgia Institute of Technology,/players/c/crittja01.html,crittja01,0,77.0
Dillard Crocker,1949,1953,F-G,6-4,205.0,1925-01-19,Western Michigan University,/players/c/crockdi01.html,crockdi01,0,76.0
Bobby Croft,1971,1971,C,6-10,200.0,1946-03-17,University of Tennessee,/players/c/croftbo01.html,croftbo01,0,82.0
Geoff Crompton,1979,1984,C,6-11,280.0,1955-07-04,University of North Carolina,/players/c/crompge01.html,crompge01,0,83.0
Terry Crosby,1980,1980,G,6-4,195.0,1957-01-04,University of Tennessee,/players/c/crosbte01.html,crosbte01,0,76.0
Austin Croshere,1998,2009,F,6-9,235.0,1975-05-01,Providence College,/players/c/croshau01.html,croshau01,0,81.0
Jeff Cross,1986,1986,F,6-10,240.0,1961-09-01,University of Maine,/players/c/crossje01.html,crossje01,0,82.0
Pete Cross,1971,1973,C-F,6-9,230.0,1948-03-28,University of San Francisco,/players/c/crosspe01.html,crosspe01,0,81.0
Russell Cross,1984,1984,C,6-10,215.0,1961-09-05,Purdue University,/players/c/crossru01.html,crossru01,0,82.0
Chink Crossin,1948,1950,G,6-1,165.0,1923-07-04,University of Pennsylvania,/players/c/crossch01.html,crossch01,0,73.0
John Crotty,1993,2003,G,6-1,185.0,1969-07-15,University of Virginia,/players/c/crottjo01.html,crottjo01,0,73.0
Bill Crow,1968,1968,G,6-1,180.0,1940-12-09,Westminster College of Utah,/players/c/crowbi01.html,crowbi01,0,73.0
Mark Crow,1978,1978,F,6-7,210.0,1954-10-22,Duke University,/players/c/crowma01.html,crowma01,0,79.0
Corey Crowder,1992,1995,G-F,6-5,214.0,1969-04-13,Kentucky Wesleyan College,/players/c/crowdco01.html,crowdco01,0,77.0
Jae Crowder,2013,2017,F,6-6,235.0,1990-07-06,Marquette University,/players/c/crowdja01.html,crowdja01,0,78.0
Al Cueto,1970,1971,C-F,6-7,230.0,1946-08-02,University of Tulsa,/players/c/cuetoal01.html,cuetoal01,0,79.0
Pat Cummings,1980,1991,F-C,6-9,230.0,1956-07-11,University of Cincinnati,/players/c/cummipa01.html,cummipa01,0,81.0
Terry Cummings,1983,2000,F,6-9,220.0,1961-03-15,DePaul University,/players/c/cummite01.html,cummite01,0,81.0
Vonteego Cummings,2000,2002,G,6-3,185.0,1976-02-29,University of Pittsburgh,/players/c/cummivo01.html,cummivo01,0,75.0
Billy Cunningham,1966,1976,F-C,6-6,210.0,1943-06-03,University of North Carolina,/players/c/cunnibi01.html,cunnibi01,1,78.0
Dante Cunningham,2010,2017,F,6-8,230.0,1987-04-22,Villanova University,/players/c/cunnida01.html,cunnida01,0,80.0
Dick Cunningham,1969,1975,C,6-10,245.0,1946-07-11,Murray State University,/players/c/cunnidi01.html,cunnidi01,0,82.0
Jared Cunningham,2013,2016,G,6-4,195.0,1991-05-22,Oregon State University,/players/c/cunnija01.html,cunnija01,0,76.0
William Cunningham,1998,1999,C,6-11,250.0,1974-03-25,Temple University,/players/c/cunniwi01.html,cunniwi01,0,83.0
Radisav Curcic,1993,1993,C,6-10,275.0,1965-09-26,,/players/c/curcira01.html,curcira01,0,82.0
Armand Cure,1947,1947,F,6-0,198.0,1919-08-01,University of Rhode Island,/players/c/curear01.html,curear01,0,72.0
Earl Cureton,1981,1997,F-C,6-9,210.0,1957-09-03,University of Detroit Mercy,/players/c/curetea01.html,curetea01,0,81.0
Bill Curley,1995,2001,F,6-9,220.0,1972-05-29,Boston College,/players/c/curlebi01.html,curlebi01,0,81.0
Fran Curran,1949,1950,G,6-0,175.0,1922-09-09,University of Notre Dame,/players/c/currafr01.html,currafr01,0,72.0
Dell Curry,1987,2002,G,6-4,190.0,1964-06-25,Virginia Polytechnic Institute and State University,/players/c/curryde01.html,curryde01,0,76.0
Eddy Curry,2002,2013,C,7-0,295.0,1982-12-05,,/players/c/curryed01.html,curryed01,0,84.0
JamesOn Curry,2010,2010,G,6-3,190.0,1986-01-07,Oklahoma State University,/players/c/curryja01.html,curryja01,0,75.0
Michael Curry,1994,2005,F-G,6-5,210.0,1968-08-22,Georgia Southern University,/players/c/currymi01.html,currymi01,0,77.0
Seth Curry,2014,2017,G,6-2,185.0,1990-08-23,Duke University,/players/c/curryse01.html,curryse01,0,74.0
Stephen Curry,2010,2017,G,6-3,190.0,1988-03-14,Davidson College,/players/c/curryst01.html,curryst01,0,75.0
Rastko Cvetkovic,1996,1996,C,7-1,260.0,1970-06-22,,/players/c/cvetkra01.html,cvetkra01,0,85.0
Mike D'Antoni,1974,1977,G,6-3,185.0,1951-05-08,Marshall University,/players/d/dantomi01.html,dantomi01,0,75.0
Mike Dabich,1968,1968,C,7-0,242.0,1942-12-27,New Mexico State University,/players/d/dabicmi01.html,dabicmi01,0,84.0
Ed Dahler,1952,1952,F,6-5,190.0,1926-01-31,Duquesne University,/players/d/dahleed01.html,dahleed01,0,77.0
Quintin Dailey,1983,1992,G,6-3,180.0,1961-01-22,University of San Francisco,/players/d/dailequ01.html,dailequ01,0,75.0
Samuel Dalembert,2002,2015,C,6-11,255.0,1981-05-10,Seton Hall University,/players/d/dalemsa01.html,dalemsa01,0,83.0
Howie Dallmar,1947,1949,F,6-4,200.0,1922-05-24,Stanford University,/players/d/dallmho01.html,dallmho01,0,76.0
Erick Dampier,1997,2012,C,6-11,265.0,1975-07-14,Mississippi State University,/players/d/dampier01.html,dampier01,0,83.0
Louie Dampier,1968,1979,G,6-0,170.0,1944-11-20,University of Kentucky,/players/d/dampilo01.html,dampilo01,1,72.0
Bob Dandridge,1970,1982,F-G,6-6,195.0,1947-11-15,Norfolk State University,/players/d/dandrbo01.html,dandrbo01,0,78.0
Antonio Daniels,1998,2011,G,6-4,195.0,1975-03-19,Bowling Green State University,/players/d/daniean01.html,daniean01,0,76.0
Erik Daniels,2005,2005,F,6-8,214.0,1982-04-01,University of Kentucky,/players/d/danieer01.html,danieer01,0,80.0
Lloyd Daniels,1993,1998,G,6-7,205.0,1967-09-04,Mount San Antonio College,/players/d/daniell01.html,daniell01,0,79.0
Marquis Daniels,2004,2013,G-F,6-6,200.0,1981-01-07,Auburn University,/players/d/daniema01.html,daniema01,0,78.0
Mel Daniels,1968,1977,C,6-9,220.0,1944-07-20,University of New Mexico,/players/d/danieme01.html,danieme01,1,81.0
Troy Daniels,2014,2017,G,6-4,205.0,1991-07-15,Virginia Commonwealth University,/players/d/danietr01.html,danietr01,0,76.0
Sasha Danilovic,1996,1997,G,6-5,200.0,1970-02-26,,/players/d/danilsa01.html,danilsa01,0,77.0
Adrian Dantley,1977,1991,F-G,6-5,208.0,1956-02-28,University of Notre Dame,/players/d/dantlad01.html,dantlad01,1,77.0
Pete Darcey,1953,1953,C,6-7,217.0,1930-03-03,Oklahoma State University,/players/d/darcepe01.html,darcepe01,0,79.0
Jimmy Darden,1950,1950,G,6-1,170.0,1922-06-19,University of Denver,/players/d/dardeji01.html,dardeji01,0,73.0
Ollie Darden,1968,1970,F-C,6-7,235.0,1944-07-28,University of Michigan,/players/d/dardeol01.html,dardeol01,0,79.0
Yinka Dare,1995,1998,C,7-0,265.0,1972-10-10,George Washington University,/players/d/dareyi01.html,dareyi01,0,84.0
Jesse Dark,1975,1975,G,6-5,210.0,1951-09-02,Virginia Commonwealth University,/players/d/darkje01.html,darkje01,0,77.0
Rick Darnell,1976,1976,C-F,6-10,215.0,1953-01-01,San Jose State University,/players/d/darneri01.html,darneri01,0,82.0
Jimmy Darrow,1962,1962,G,5-10,170.0,1937-09-25,Bowling Green State University,/players/d/darroji01.html,darroji01,0,70.0
Luigi Datome,2014,2015,F,6-8,215.0,1987-11-27,,/players/d/datomlu01.html,datomlu01,0,80.0
Brad Daugherty,1987,1994,C,7-0,245.0,1965-10-19,University of North Carolina,/players/d/daughbr01.html,daughbr01,0,84.0
Mack Daughtry,1971,1971,G,6-3,175.0,,Albany State University,/players/d/daughma01.html,daughma01,0,75.0
Kornel David,1999,2001,F,6-9,235.0,1971-10-22,,/players/d/davidko01.html,davidko01,0,81.0
Jermareo Davidson,2008,2009,F,6-10,230.0,1984-11-15,University of Alabama,/players/d/davidje01.html,davidje01,0,82.0
Bob Davies,1949,1955,G-F,6-1,175.0,1920-01-15,Seton Hall University,/players/d/daviebo01.html,daviebo01,1,73.0
Brandon Davies,2014,2015,F,6-10,240.0,1991-07-25,Brigham Young University,/players/d/daviebr01.html,daviebr01,0,82.0
Anthony Davis,2013,2017,F-C,6-10,253.0,1993-03-11,University of Kentucky,/players/d/davisan02.html,davisan02,0,82.0
Antonio Davis,1994,2006,F-C,6-9,215.0,1968-10-31,University of Texas at El Paso,/players/d/davisan01.html,davisan01,0,81.0
Aubrey Davis,1947,1947,G-F,6-2,175.0,1921-03-28,Oklahoma Baptist University,/players/d/davisau01.html,davisau01,0,74.0
Baron Davis,2000,2012,G,6-3,209.0,1979-04-13,"University of California, Los Angeles",/players/d/davisba01.html,davisba01,0,75.0
Ben Davis,1997,2000,F,6-9,240.0,1972-12-26,University of Arizona,/players/d/davisbe01.html,davisbe01,0,81.0
Bill Davis,1947,1947,F,6-3,215.0,1921-10-03,University of Notre Dame,/players/d/davisbi01.html,davisbi01,0,75.0
Bob Davis,1973,1973,F,6-7,215.0,1950-04-02,Weber State University,/players/d/davisbo01.html,davisbo01,0,79.0
Brad Davis,1978,1992,G,6-3,180.0,1955-12-17,University of Maryland,/players/d/davisbr01.html,davisbr01,0,75.0
Brian Davis,1994,1994,F-G,6-7,200.0,1970-06-21,Duke University,/players/d/davisbr02.html,davisbr02,0,79.0
Charles Davis,1982,1990,F,6-7,215.0,1958-10-05,Vanderbilt University,/players/d/davisch02.html,davisch02,0,79.0
Charlie Davis,1972,1974,G,6-2,160.0,1949-09-07,Wake Forest University,/players/d/davisch01.html,davisch01,0,74.0
Dale Davis,1992,2007,F-C,6-11,230.0,1969-03-25,Clemson University,/players/d/davisda01.html,davisda01,0,83.0
Deyonta Davis,2017,2017,F-C,6-11,237.0,1996-12-02,Michigan State University,/players/d/davisde01.html,davisde01,0,83.0
Dwight Davis,1973,1977,F,6-8,220.0,1949-10-28,University of Houston,/players/d/davisdw01.html,davisdw01,0,80.0
Ed Davis,2011,2017,F,6-10,240.0,1989-06-05,University of North Carolina,/players/d/davised01.html,davised01,0,82.0
Emanual Davis,1997,2003,G,6-4,195.0,1968-08-27,Delaware State University,/players/d/davisem01.html,davisem01,0,76.0
Glen Davis,2008,2015,F-C,6-9,289.0,1986-01-01,Louisiana State University,/players/d/davisgl01.html,davisgl01,0,81.0
Harry Davis,1979,1980,F,6-7,220.0,1956-01-27,Florida State University,/players/d/davisha01.html,davisha01,0,79.0
Hubert Davis,1993,2004,G,6-5,183.0,1970-05-17,University of North Carolina,/players/d/davishu01.html,davishu01,0,77.0
Jim Davis,1968,1975,C-F,6-9,225.0,1941-12-18,University of Colorado,/players/d/davisji01.html,davisji01,0,81.0
