Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
Hubert Davis,1993,2004,G,6-5,183.0,1970-05-17,University of North Carolina,/players/d/davishu01.html,davishu01,0,77.0,http://www.sports-reference.com/cbb/players/hubert-davis-1.html
Jim Davis,1968,1975,C-F,6-9,225.0,1941-12-18,University of Colorado,/players/d/davisji01.html,davisji01,0,81.0,"['http://www.basketball-reference.com/players/d/davisji01.html', IndexError('list index out of range',)]"
Johnny Davis,1977,1986,G,6-2,170.0,1955-10-21,University of Dayton,/players/d/davisjo01.html,davisjo01,0,74.0,http://www.sports-reference.com/cbb/players/johnny-davis-1.html
Josh Davis,2004,2012,F,6-8,235.0,1980-08-10,University of Wyoming,/players/d/davisjo02.html,davisjo02,0,80.0,http://www.sports-reference.com/cbb/players/josh-davis-1.html
Lee Davis,1969,1976,C-F,6-8,235.0,1945-10-11,North Carolina Central University,/players/d/davisle01.html,davisle01,0,80.0,"['http://www.basketball-reference.com/players/d/davisle01.html', IndexError('list index out of range',)]"
Mark Davis,1989,1989,F-G,6-6,195.0,1963-06-08,Old Dominion University,/players/d/davisma01.html,davisma01,0,78.0,http://www.sports-reference.com/cbb/players/mark-davis-1.html
Mark Davis,1996,2000,G-F,6-7,210.0,1973-04-26,Texas Tech University,/players/d/davisma02.html,davisma02,0,79.0,http://www.sports-reference.com/cbb/players/mark-davis-2.html
Mel Davis,1974,1977,F,6-6,220.0,1950-11-09,St. John's University,/players/d/davisme01.html,davisme01,0,78.0,"['http://www.basketball-reference.com/players/d/davisme01.html', IndexError('list index out of range',)]"
Mickey Davis,1972,1977,F-G,6-7,195.0,1950-06-16,Duquesne University,/players/d/davismi02.html,davismi02,0,79.0,"['http://www.basketball-reference.com/players/d/davismi02.html', IndexError('list index out of range',)]"
Mike Davis,1970,1973,G,6-3,185.0,1946-07-26,Virginia Union University,/players/d/davismi01.html,davismi01,0,75.0,"['http://www.basketball-reference.com/players/d/davismi01.html', IndexError('list index out of range',)]"
Mike Davis,1983,1983,F,6-10,230.0,1956-08-02,University of Maryland,/players/d/davismi03.html,davismi03,0,82.0,http://www.sports-reference.com/cbb/players/mike-davis-1.html
Monti Davis,1981,1981,F,6-7,205.0,1958-07-26,Tennessee State University,/players/d/davismo01.html,davismo01,0,79.0,http://www.sports-reference.com/cbb/players/monti-davis-1.html
Paul Davis,2007,2010,C,6-11,270.0,1984-07-21,Michigan State University,/players/d/davispa01.html,davispa01,0,83.0,http://www.sports-reference.com/cbb/players/paul-davis-1.html
Ralph Davis,1961,1962,G,6-4,180.0,1938-09-07,University of Cincinnati,/players/d/davisra01.html,davisra01,0,76.0,"['http://www.basketball-reference.com/players/d/davisra01.html', IndexError('list index out of range',)]"
Red Davis,1956,1956,C,6-7,220.0,1932-04-22,St. John's University,/players/d/davisre01.html,davisre01,0,79.0,"['http://www.basketball-reference.com/players/d/davisre01.html', IndexError('list index out of range',)]"
Ricky Davis,1999,2010,G,6-6,195.0,1979-09-23,University of Iowa,/players/d/davisri01.html,davisri01,0,78.0,http://www.sports-reference.com/cbb/players/ricky-davis-1.html
Ron Davis,1977,1982,G-F,6-6,198.0,1954-05-01,Washington State University,/players/d/davisro01.html,davisro01,0,78.0,http://www.sports-reference.com/cbb/players/ron-davis-1.html
Terry Davis,1990,2001,F-C,6-9,225.0,1967-06-17,Virginia Union University,/players/d/daviste01.html,daviste01,0,81.0,"['http://www.basketball-reference.com/players/d/daviste01.html', IndexError('list index out of range',)]"
Walt Davis,1954,1958,C-F,6-8,205.0,1931-01-05,Texas A&M University,/players/d/daviswa01.html,daviswa01,0,80.0,"['http://www.basketball-reference.com/players/d/daviswa01.html', IndexError('list index out of range',)]"
Walter Davis,1978,1992,G-F,6-6,193.0,1954-09-09,University of North Carolina,/players/d/daviswa03.html,daviswa03,0,78.0,http://www.sports-reference.com/cbb/players/walter-davis-2.html
Warren Davis,1968,1973,F-C,6-6,212.0,1943-06-30,North Carolina Agricultural and Technical State University,/players/d/daviswa02.html,daviswa02,0,78.0,"['http://www.basketball-reference.com/players/d/daviswa02.html', IndexError('list index out of range',)]"
Willie Davis,1971,1971,C,6-8,234.0,1945-08-09,University of North Texas,/players/d/daviswi01.html,daviswi01,0,80.0,"['http://www.basketball-reference.com/players/d/daviswi01.html', IndexError('list index out of range',)]"
Andre Dawkins,2015,2015,G,6-5,215.0,1991-09-19,Duke University,/players/d/dawkian01.html,dawkian01,0,77.0,http://www.sports-reference.com/cbb/players/andre-dawkins-1.html
Darryl Dawkins,1976,1989,C,6-11,251.0,1957-01-11,,/players/d/dawkida01.html,dawkida01,0,83.0,"['http://www.basketball-reference.com/players/d/dawkida01.html', IndexError('list index out of range',)]"
Johnny Dawkins,1987,1995,G,6-2,165.0,1963-09-28,Duke University,/players/d/dawkijo01.html,dawkijo01,0,74.0,http://www.sports-reference.com/cbb/players/johnny-dawkins-1.html
Paul Dawkins,1980,1980,F,6-5,190.0,1957-06-10,Northern Illinois University,/players/d/dawkipa01.html,dawkipa01,0,77.0,http://www.sports-reference.com/cbb/players/paul-dawkins-1.html
Branden Dawson,2016,2016,F,6-6,225.0,1993-02-01,Michigan State University,/players/d/dawsobr01.html,dawsobr01,0,78.0,http://www.sports-reference.com/cbb/players/branden-dawson-1.html
Eric Dawson,2012,2012,F,6-9,250.0,1984-07-07,Midwestern State University,/players/d/dawsoer01.html,dawsoer01,0,81.0,"['http://www.basketball-reference.com/players/d/dawsoer01.html', IndexError('list index out of range',)]"
Jimmy Dawson,1968,1968,G,6-0,175.0,1945-04-18,University of Illinois at Urbana-Champaign,/players/d/dawsoji01.html,dawsoji01,0,72.0,"['http://www.basketball-reference.com/players/d/dawsoji01.html', IndexError('list index out of range',)]"
Tony Dawson,1991,1995,F,6-7,215.0,1967-08-25,Florida State University,/players/d/dawsoto01.html,dawsoto01,0,79.0,http://www.sports-reference.com/cbb/players/tony-dawson-1.html
Todd Day,1993,2001,G-F,6-6,188.0,1970-01-07,University of Arkansas,/players/d/dayto01.html,dayto01,0,78.0,http://www.sports-reference.com/cbb/players/todd-day-1.html
Austin Daye,2010,2015,F,6-11,220.0,1988-06-05,Gonzaga University,/players/d/dayeau01.html,dayeau01,0,83.0,http://www.sports-reference.com/cbb/players/austin-daye-1.html
Darren Daye,1984,1988,F-G,6-8,220.0,1960-11-30,"University of California, Los Angeles",/players/d/dayeda01.html,dayeda01,0,80.0,http://www.sports-reference.com/cbb/players/darren-daye-1.html
Nando De Colo,2013,2014,G,6-5,200.0,1987-06-23,,/players/d/decolna01.html,decolna01,0,77.0,"['http://www.basketball-reference.com/players/d/decolna01.html', IndexError('list index out of range',)]"
Greg Deane,1980,1980,G,6-4,190.0,1957-12-06,University of Utah,/players/d/deanegr01.html,deanegr01,0,76.0,http://www.sports-reference.com/cbb/players/greg-deane-1.html
Billy DeAngelis,1971,1971,G,6-1,180.0,1946-10-05,Saint Joseph's University,/players/d/deangbi01.html,deangbi01,0,73.0,"['http://www.basketball-reference.com/players/d/deangbi01.html', IndexError('list index out of range',)]"
Dave DeBusschere,1963,1974,F-G,6-6,220.0,1940-10-16,University of Detroit Mercy,/players/d/debusda01.html,debusda01,1,78.0,http://www.sports-reference.com/cbb/players/dave-debusschere-1.html
Andrew DeClercq,1996,2005,F-C,6-10,230.0,1973-02-01,University of Florida,/players/d/declean01.html,declean01,0,82.0,http://www.sports-reference.com/cbb/players/andrew-declercq-1.html
Dewayne Dedmon,2014,2017,C,7-0,245.0,1989-08-12,University of Southern California,/players/d/dedmode01.html,dedmode01,0,84.0,http://www.sports-reference.com/cbb/players/dewayne-dedmon-1.html
Don Dee,1969,1969,F,6-8,210.0,1943-08-09,Saint Mary of the Plains College,/players/d/deedo01.html,deedo01,0,80.0,"['http://www.basketball-reference.com/players/d/deedo01.html', IndexError('list index out of range',)]"
Archie Dees,1959,1962,F-C,6-8,205.0,1936-02-22,Indiana University,/players/d/deesar01.html,deesar01,0,80.0,"['http://www.basketball-reference.com/players/d/deesar01.html', IndexError('list index out of range',)]"
Terry Dehere,1994,1999,G,6-2,190.0,1971-09-12,Seton Hall University,/players/d/deherte01.html,deherte01,0,74.0,http://www.sports-reference.com/cbb/players/terry-dehere-1.html
Red Dehnert,1947,1947,F,6-3,175.0,1924-01-24,Columbia University,/players/d/dehnere01.html,dehnere01,0,75.0,"['http://www.basketball-reference.com/players/d/dehnere01.html', IndexError('list index out of range',)]"
Bryce Dejean-Jones,2016,2016,G,6-6,209.0,1992-08-21,Iowa State University,/players/d/dejeabr01.html,dejeabr01,0,78.0,http://www.sports-reference.com/cbb/players/bryce-jones-1.html
Sam Dekker,2016,2017,F,6-9,230.0,1994-05-06,University of Wisconsin,/players/d/dekkesa01.html,dekkesa01,0,81.0,http://www.sports-reference.com/cbb/players/sam-dekker-1.html
Vinny Del Negro,1989,2002,G,6-4,185.0,1966-08-09,North Carolina State University,/players/d/delnevi01.html,delnevi01,0,76.0,http://www.sports-reference.com/cbb/players/vinny-del-negro-1.html
Malcolm Delaney,2017,2017,G,6-3,190.0,1989-03-11,Virginia Polytechnic Institute and State University,/players/d/delanma01.html,delanma01,0,75.0,http://www.sports-reference.com/cbb/players/malcolm-delaney-1.html
Bison Dele,1992,1999,F-C,6-9,235.0,1969-04-06,University of Arizona,/players/d/delebi01.html,delebi01,0,81.0,http://www.sports-reference.com/cbb/players/bison-dele-1.html
Carlos Delfino,2005,2013,G,6-6,230.0,1982-08-29,,/players/d/delfica01.html,delfica01,0,78.0,"['http://www.basketball-reference.com/players/d/delfica01.html', IndexError('list index out of range',)]"
Tony Delk,1997,2006,G,6-1,189.0,1974-01-28,University of Kentucky,/players/d/delkto01.html,delkto01,0,73.0,http://www.sports-reference.com/cbb/players/tony-delk-1.html
Matthew Dellavedova,2014,2017,G,6-4,198.0,1990-09-08,Saint Mary's College of California,/players/d/dellama01.html,dellama01,0,76.0,http://www.sports-reference.com/cbb/players/matthew-dellavedova-1.html
Nate DeLong,1952,1952,C,6-6,220.0,1926-01-05,University of Wisconsin-River Falls,/players/d/delonna01.html,delonna01,0,78.0,"['http://www.basketball-reference.com/players/d/delonna01.html', IndexError('list index out of range',)]"
Fennis Dembo,1989,1989,F,6-5,215.0,1966-01-24,University of Wyoming,/players/d/dembofe01.html,dembofe01,0,77.0,http://www.sports-reference.com/cbb/players/fennis-dembo-1.html
Larry Demic,1980,1982,F-C,6-9,225.0,1957-06-27,University of Arizona,/players/d/demicla01.html,demicla01,0,81.0,http://www.sports-reference.com/cbb/players/larry-demic-1.html
Dell Demps,1994,1997,G,6-3,205.0,1970-02-12,University of the Pacific,/players/d/dempsde01.html,dempsde01,0,75.0,http://www.sports-reference.com/cbb/players/dell-demps-1.html
George Dempsey,1955,1959,G,6-2,190.0,1929-07-19,King's College,/players/d/dempsge01.html,dempsge01,0,74.0,"['http://www.basketball-reference.com/players/d/dempsge01.html', IndexError('list index out of range',)]"
Luol Deng,2005,2017,F,6-9,220.0,1985-04-16,Duke University,/players/d/denglu01.html,denglu01,0,81.0,http://www.sports-reference.com/cbb/players/luol-deng-1.html
Kenny Dennard,1982,1984,F,6-8,220.0,1958-10-18,Duke University,/players/d/dennake01.html,dennake01,0,80.0,http://www.sports-reference.com/cbb/players/kenny-dennard-1.html
Blaine Denning,1953,1953,G,6-2,175.0,1930-09-19,Lawrence Technological University,/players/d/dennibl01.html,dennibl01,0,74.0,"['http://www.basketball-reference.com/players/d/dennibl01.html', IndexError('list index out of range',)]"
Justin Dentmon,2012,2013,G,5-11,185.0,1985-09-05,University of Washington,/players/d/dentmju01.html,dentmju01,0,71.0,http://www.sports-reference.com/cbb/players/justin-dentmon-1.html
Randy Denton,1972,1977,C,6-10,240.0,1949-02-18,Duke University,/players/d/dentora01.html,dentora01,0,82.0,"['http://www.basketball-reference.com/players/d/dentora01.html', IndexError('list index out of range',)]"
Joe DePre,1971,1973,G,6-3,185.0,1947-12-19,St. John's University,/players/d/deprejo01.html,deprejo01,0,75.0,"['http://www.basketball-reference.com/players/d/deprejo01.html', IndexError('list index out of range',)]"
Rod Derline,1975,1976,G,6-0,175.0,1952-03-11,Seattle University,/players/d/derliro01.html,derliro01,0,72.0,"['http://www.basketball-reference.com/players/d/derliro01.html', IndexError('list index out of range',)]"
DeMar DeRozan,2010,2017,G,6-7,221.0,1989-08-07,University of Southern California,/players/d/derozde01.html,derozde01,0,79.0,http://www.sports-reference.com/cbb/players/demar-derozan-1.html
Dave Deutsch,1967,1967,G,6-1,170.0,1945-05-13,University of Rochester,/players/d/deutsda01.html,deutsda01,0,73.0,"['http://www.basketball-reference.com/players/d/deutsda01.html', IndexError('list index out of range',)]"
Corky Devlin,1956,1958,G,6-5,195.0,1931-12-21,George Washington University,/players/d/devlico01.html,devlico01,0,77.0,"['http://www.basketball-reference.com/players/d/devlico01.html', IndexError('list index out of range',)]"
Hank DeZonie,1951,1951,C-F,6-6,215.0,1922-02-12,Clark Atlanta University,/players/d/dezonha01.html,dezonha01,0,78.0,"['http://www.basketball-reference.com/players/d/dezonha01.html', IndexError('list index out of range',)]"
Derrick Dial,2000,2004,G,6-4,184.0,1975-12-20,Eastern Michigan University,/players/d/dialde01.html,dialde01,0,76.0,http://www.sports-reference.com/cbb/players/derrick-dial-1.html
Cheick Diallo,2017,2017,F,6-9,220.0,1996-09-13,University of Kansas,/players/d/diallch01.html,diallch01,0,81.0,http://www.sports-reference.com/cbb/players/cheick-diallo-1.html
Boris Diaw,2004,2017,F-C,6-8,250.0,1982-04-16,,/players/d/diawbo01.html,diawbo01,0,80.0,"['http://www.basketball-reference.com/players/d/diawbo01.html', IndexError('list index out of range',)]"
Yakhouba Diawara,2007,2010,G-F,6-7,225.0,1982-08-29,Pepperdine University,/players/d/diawaya01.html,diawaya01,0,79.0,http://www.sports-reference.com/cbb/players/yakhouba-diawara-1.html
Guillermo Diaz,2008,2008,G,6-2,192.0,1985-03-04,University of Miami,/players/d/diazgu01.html,diazgu01,0,74.0,http://www.sports-reference.com/cbb/players/guillermo-diaz-1.html
Dan Dickau,2003,2008,G,6-0,190.0,1978-09-16,Gonzaga University,/players/d/dickada01.html,dickada01,0,72.0,http://www.sports-reference.com/cbb/players/dan-dickau-1.html
Kaniel Dickens,2004,2008,F,6-8,215.0,1978-07-21,University of Idaho,/players/d/dickeka01.html,dickeka01,0,80.0,http://www.sports-reference.com/cbb/players/kaniel-dickens-1.html
Henry Dickerson,1976,1977,G,6-4,190.0,1951-11-27,University of Charleston,/players/d/dickehe01.html,dickehe01,0,76.0,"['http://www.basketball-reference.com/players/d/dickehe01.html', IndexError('list index out of range',)]"
Michael Dickerson,1999,2003,G-F,6-5,190.0,1975-06-25,University of Arizona,/players/d/dickemi01.html,dickemi01,0,77.0,http://www.sports-reference.com/cbb/players/michael-dickerson-1.html
Clyde Dickey,1975,1975,G,6-3,185.0,1951-12-14,Boise State University,/players/d/dickecl01.html,dickecl01,0,75.0,"['http://www.basketball-reference.com/players/d/dickecl01.html', IndexError('list index out of range',)]"
Derrek Dickey,1974,1978,F,6-7,218.0,1951-03-20,University of Cincinnati,/players/d/dickede01.html,dickede01,0,79.0,"['http://www.basketball-reference.com/players/d/dickede01.html', IndexError('list index out of range',)]"
Dick Dickey,1952,1952,G,6-1,175.0,1926-10-26,North Carolina State University,/players/d/dickedi01.html,dickedi01,0,73.0,"['http://www.basketball-reference.com/players/d/dickedi01.html', IndexError('list index out of range',)]"
John Dickson,1968,1968,C,6-10,240.0,1945-11-18,Arkansas State University,/players/d/dicksjo01.html,dicksjo01,0,82.0,"['http://www.basketball-reference.com/players/d/dicksjo01.html', IndexError('list index out of range',)]"
Travis Diener,2006,2010,G,6-1,175.0,1982-03-01,Marquette University,/players/d/dienetr01.html,dienetr01,0,73.0,http://www.sports-reference.com/cbb/players/travis-diener-1.html
Gorgui Dieng,2014,2017,C,6-11,241.0,1990-01-18,University of Louisville,/players/d/dienggo01.html,dienggo01,0,83.0,http://www.sports-reference.com/cbb/players/gorgui-dieng-1.html
Connie Dierking,1959,1971,C-F,6-9,222.0,1936-10-02,University of Cincinnati,/players/d/dierkco01.html,dierkco01,0,81.0,"['http://www.basketball-reference.com/players/d/dierkco01.html', IndexError('list index out of range',)]"
Coby Dietrick,1971,1983,C-F,6-10,220.0,1948-07-23,San Jose State University,/players/d/dietrco01.html,dietrco01,0,82.0,"['http://www.basketball-reference.com/players/d/dietrco01.html', IndexError('list index out of range',)]"
Ernie DiGregorio,1974,1978,G,6-0,180.0,1951-01-15,Providence College,/players/d/digreer01.html,digreer01,0,72.0,"['http://www.basketball-reference.com/players/d/digreer01.html', IndexError('list index out of range',)]"
Craig Dill,1968,1968,C,6-11,215.0,1944-12-17,University of Michigan,/players/d/dillcr01.html,dillcr01,0,83.0,"['http://www.basketball-reference.com/players/d/dillcr01.html', IndexError('list index out of range',)]"
Dwaine Dillard,1976,1976,F,6-6,230.0,1949-03-09,Eastern Michigan University,/players/d/dilladw01.html,dilladw01,0,78.0,"['http://www.basketball-reference.com/players/d/dilladw01.html', IndexError('list index out of range',)]"
