Bref_ID,Sref_Cbb_ID
dumasri02,richard-dumas-1
dumasto01,tony-dumas-1
duncaan01,
duncati01,tim-duncan-1
dunlemi01,mike-dunleavy-1
dunlemi02,mike-dunleavy-2
dunnkr01,kris-dunn-1
dunnpa01,
dunntr01,tr-dunn-1
duprero01,ronald-dupree-1
duranke01,kevin-durant-1
durenjo01,john-duren-1
durhaja01,
durhapa01,pat-durham-1
durrade01,devin-durrant-1
durreke01,
duvalde01,
dwanja01,
dykemcr01,craig-dykema-1
dykerge01,
dysonje01,jerome-dyson-1
eacklle01,ledell-eackles-1
eakinji01,
earlac01,acie-earl-1
earleed01,
earlycl01,cleanthony-early-1
earlype01,
eatonma01,mark-eaton-1
eavesje01,jerry-eaves-1
ebankde01,devin-ebanks-1
ebbenbi01,
eberhal01,
ebind01,
ebronro01,
eddieja01,jarell-eddie-1
eddiepa01,patrick-eddie-1
eddledi01,
edelike01,kenton-edelin-1
edgech01,
edmonbo01,
edmonke01,keith-edmonson-1
edneyty01,tyus-edney-1
edwarbi01,bill-edwards-1
edwarbl01,blue-edwards-1
edwarco01,corsley-edwards-1
edwardo01,doug-edwards-1
edwarfr01,franklin-edwards-1
edwarja01,james-edwards-1
edwarja02,jay-edwards-1
edwarjo01,john-edwards-1
edwarke01,kevin-edwards-1
edwarsh01,shane-edwards-1
eganjo01,
egglelo01,
ehlerbu01,
ehlocr01,craig-ehlo-1
eichhdi01,
eisleho01,howard-eisley-1
ekeziob01,obinna-ekezie-1
elamikh01,khalid-el-amin-1
eliasdo01,
eliema01,
ellefra01,
ellenhe01,henry-ellenson-1
ellinwa01,wayne-ellington-1
elliobo01,bob-elliott-1
elliose01,sean-elliott-1
ellisbo02,bo-ellis-2
ellisbo01,
ellisda01,dale-ellis-1
ellisha01,
ellisjo01,
ellisla01,laphonso-ellis-1
ellisle02,leron-ellis-1
ellisle01,
ellismo01,
ellispe01,pervis-ellison-1
elmorle01,len-elmore-1
elsonfr01,francisco-elson-1
elstoda01,
elyme01,melvin-ely-1
embiijo01,joel-embiid-1
embrywa01,
emmetan01,andre-emmett-1
endrene01,
englech01,chris-engler-1
englewa01,wayne-englestad-1
engliaj01,
englial01,alex-english-1
englicl01,
englijo01,jo-jo-english-1
engliki01,kim-english-1
englisc01,
engluge01,
ennisja01,
ennisty01,tyler-ennis-1
eppsra01,
erdense01,
eriasbo01,
erickke01,
ervinju01,julius-erving-1
eschmev01,evan-eschmeyer-1
eskrija01,
esposvi01,
evansbi01,
evansbo01,
evansbr01,brian-evans-1
evansea01,earl-evans-1
evansje01,jeremy-evans-1
evansma01,maurice-evans-1
evansmi01,mike-evans-1
evansre01,reggie-evans-1
evansty01,tyreke-evans-1
ewingda01,daniel-ewing-1
ewingpa01,patrick-ewing-1
ewingpa02,pat-ewing-1
exumda01,
eyengch01,
ezelife01,festus-ezeli-1
ezersjo01,
fabeljo01,
faircjo01,
farbmph01,
farieke01,kenneth-faried-1
farledi01,
farmajo01,jordan-farmar-1
farmede01,desmon-farmer-1
farmeji01,jim-farmer-1
farmemi01,
farmeto01,tony-farmer-1
faughbo01,
favervi01,
favorde01,derrick-favors-1
fazekni01,nick-fazekas-1
fedorda01,
feeribo01,
feherbu01,
feickja01,jamie-feick-1
feierro01,
feigege01,
feitlda01,dave-feitl-1
feldeka01,kahlil-felder-1
feliccr01,
felixca01,carrick-felix-1
felixno01,noel-felix-1
felixra01,
feltora01,raymond-felton-1
fendlja01,
fenlewa01,
fergude01,
fernaru01,rudy-fernandez-1
fernser01,eric-fernsten-1
ferraal01,
ferrero01,rolando-ferreira-1
ferredu01,duane-ferrell-1
ferreyo01,kevin-ferrell-1
ferriar01,
ferrybo01,
ferryda01,danny-ferry-1
fesenky01,
fieldbo01,
fieldke01,kenny-fields-1
fieldla01,landry-fields-1
filipro01,
fillmgr01,
finchla01,
finkeha01,
finlemi01,michael-finley-1
finnda01,
finnedo01,dorian-finney-smith-1
fishma01,matt-fish-1
